Round;Kills;Deaths;Assists;Score;Role;Round_result
1;0;1;0;0;Controller;1
2;1;1;0;150;Controller;1
3;0;1;0;0;Controller;0
4;0;1;2;195;Controller;0
5;1;0;0;75;Controller;0
6;0;1;0;40;Controller;1
7;1;1;0;321;Controller;1
8;1;2;1;265;Controller;1
9;0;0;1;220;Controller;0
10;0;0;0;29;Controller;0
11;1;1;0;403;Controller;1
12;1;1;0;320;Controller;1
13;0;1;1;78;Controller;1
14;0;1;0;0;Controller;1
15;0;1;2;50;Controller;0
16;0;1;1;74;Controller;1
17;0;0;1;0;Controller;1
18;1;1;0;340;Controller;1
19;0;1;0;0;Controller;1
