Round;Kills;Deaths;Assists;Score;Role;Round_result
1;2;1;0;474;Controller;0
2;0;1;0;0;Controller;1
3;0;1;0;0;Controller;1
4;2;0;0;355;Controller;1
5;0;0;2;145;Controller;1
6;0;1;0;0;Controller;0
7;0;1;0;0;Controller;0
8;0;1;1;25;Controller;1
9;3;0;0;803;Controller;1
10;0;1;0;0;Controller;1
11;0;1;0;40;Controller;0
12;1;1;1;232;Controller;0
13;2;1;0;490;Controller;0
14;0;1;0;92;Controller;0
15;0;0;0;0;Controller;1
16;1;1;0;369;Controller;1
17;2;1;0;500;Controller;0
18;0;0;1;93;Controller;1
19;1;1;0;280;Controller;0
20;0;1;1;120;Controller;0
21;0;1;0;0;Controller;0
22;0;1;0;0;Controller;0
23;1;1;1;316;Controller;0
