Round;Kills;Deaths;Assists;Score;Role;Round_result
1;0;1;2;50;Controller;0
2;1;0;0;168;Controller;0
3;0;1;0;27;Controller;1
4;3;0;0;820;Controller;0
5;0;0;0;40;Controller;0
6;1;1;0;280;Controller;1
7;0;1;0;0;Controller;1
8;1;1;0;300;Controller;1
9;1;0;0;286;Controller;0
10;1;1;1;205;Controller;1
11;0;1;0;35;Controller;1
12;0;0;1;25;Controller;0
13;1;1;2;182;Controller;0
14;1;1;0;210;Controller;0
15;0;1;0;0;Controller;1
16;2;0;2;492;Controller;0
17;1;1;0;295;Controller;1
18;2;0;0;590;Controller;0
19;1;1;0;300;Controller;1
20;1;1;0;377;Controller;1
21;3;1;1;906;Controller;1
22;0;1;0;112;Controller;1
23;2;1;1;596;Controller;0
24;1;1;0;219;Controller;1
