Round;Kills;Deaths;Assists;Score;Role;Round_result
1;0;1;0;30;Controller;0
2;0;1;0;0;Controller;0
3;2;0;1;412;Controller;1
4;1;0;0;240;Controller;1
5;2;0;0;605;Controller;1
6;1;1;0;260;Controller;0
7;1;0;2;319;Controller;1
8;0;1;3;115;Controller;1
9;0;1;1;25;Controller;1
10;0;1;1;160;Controller;0
11;1;1;1;375;Controller;0
12;0;1;0;0;Controller;0
13;1;1;0;200;Controller;1
14;0;0;0;0;Controller;1
15;0;1;0;23;Controller;0
16;0;1;1;161;Controller;0
17;0;1;0;100;Controller;0
18;3;0;1;774;Controller;1
19;1;0;1;265;Controller;1
20;1;0;0;152;Controller;1
21;3;0;1;832;Controller;1
22;1;1;1;439;Controller;0
23;0;1;1;201;Controller;0
24;1;1;1;320;Controller;0
25;0;1;0;0;Controller;0
26;2;1;0;630;Controller;0
