Round;Kills;Deaths;Assists;Score;Role;Round_result
1;0;1;0;0;Controller;0
2;0;1;0;0;Controller;0
3;0;0;1;25;Controller;1
4;0;1;1;25;Controller;0
5;0;1;0;0;Controller;0
6;2;0;1;523;Controller;1
7;2;1;0;570;Controller;0
8;1;1;0;233;Controller;0
9;0;1;0;0;Controller;0
10;0;1;2;50;Controller;1
11;1;1;0;230;Controller;0
12;0;1;1;25;Controller;0
13;0;0;0;0;Controller;1
14;1;0;0;210;Controller;1
15;1;0;0;156;Controller;1
16;0;0;0;0;Controller;1
17;0;1;0;40;Controller;1
18;1;1;0;340;Controller;0
19;0;1;0;0;Controller;0
20;3;0;0;779;Controller;1
21;0;1;2;105;Controller;1
22;0;1;2;178;Controller;1
23;0;1;0;57;Controller;1
24;0;1;0;0;Controller;0
25;0;1;0;0;Controller;1
26;0;1;0;0;Controller;0
27;0;1;2;185;Controller;1
28;1;1;0;280;Controller;0
29;0;0;0;0;Controller;1
30;1;1;1;230;Controller;0
